nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
112,30,64,128,2,0.002,0.2,50,MAE,2025-11-20 22:07:24,2025-11-20 22:07:45,1,0.14268329739570618,0.053255725651979446,0.2307720184326172,0.812133072407045
113,30,64,128,3,0.001,0.1,30,MSE,2025-11-20 22:07:45,2025-11-20 22:08:04,1,0.17311044037342072,0.08431524783372879,0.2903708815574646,0.7690802348336595
114,30,64,128,3,0.001,0.1,30,MAE,2025-11-20 22:08:04,2025-11-20 22:08:24,1,0.31939974427223206,0.22943225502967834,0.4789908826351166,0.7984344422700587
115,30,64,128,3,0.001,0.1,50,MSE,2025-11-20 22:08:24,2025-11-20 22:08:56,1,0.15952377021312714,0.07216579467058182,0.26863691210746765,0.8062622309197651
116,30,64,128,3,0.001,0.1,50,MAE,2025-11-20 22:08:56,2025-11-20 22:09:28,1,0.22180728614330292,0.1258470118045807,0.35474923253059387,0.7984344422700587
117,30,64,128,3,0.001,0.2,30,MSE,2025-11-20 22:09:29,2025-11-20 22:09:48,1,0.1685778796672821,0.07175309211015701,0.26786768436431885,0.776908023483366
118,30,64,128,3,0.001,0.2,30,MAE,2025-11-20 22:09:48,2025-11-20 22:10:07,1,0.19132770597934723,0.11732257157564163,0.34252381324768066,0.7964774951076321
119,30,64,128,3,0.001,0.2,50,MSE,2025-11-20 22:10:08,2025-11-20 22:10:40,1,0.15221066772937775,0.057175055146217346,0.23911306262016296,0.7964774951076321
120,30,64,128,3,0.001,0.2,50,MAE,2025-11-20 22:10:40,2025-11-20 22:11:12,1,0.16926951706409454,0.08849210292100906,0.29747623205184937,0.7984344422700587
121,30,64,128,3,0.002,0.1,30,MSE,2025-11-20 22:11:12,2025-11-20 22:11:32,1,0.3603888750076294,0.22626248002052307,0.47567054629325867,0.7906066536203522
122,30,64,128,3,0.002,0.1,30,MAE,2025-11-20 22:11:32,2025-11-20 22:11:51,1,0.17298108339309692,0.07007721066474915,0.26472100615501404,0.8023483365949119
123,30,64,128,3,0.002,0.1,50,MSE,2025-11-20 22:11:51,2025-11-20 22:12:23,1,0.18401020765304565,0.07519812881946564,0.2742227613925934,0.8101761252446184
124,30,64,128,3,0.002,0.1,50,MAE,2025-11-20 22:12:23,2025-11-20 22:12:56,1,0.47469428181648254,0.4015066623687744,0.6336455345153809,0.8062622309197651
125,30,64,128,3,0.002,0.2,30,MSE,2025-11-20 22:12:56,2025-11-20 22:13:15,1,0.22759509086608887,0.07803109288215637,0.2793404459953308,0.7945205479452054
126,30,64,128,3,0.002,0.2,30,MAE,2025-11-20 22:13:15,2025-11-20 22:13:34,1,0.17213617265224457,0.09287666529417038,0.3047567307949066,0.8082191780821918
127,30,64,128,3,0.002,0.2,50,MSE,2025-11-20 22:13:35,2025-11-20 22:14:07,1,0.6302835941314697,0.6496555805206299,0.8060121536254883,0.7925636007827789
128,30,64,128,3,0.002,0.2,50,MAE,2025-11-20 22:14:07,2025-11-20 22:14:39,1,0.4253997802734375,0.4395357072353363,0.6629748940467834,0.8140900195694716
129,45,32,64,2,0.001,0.1,30,MSE,2025-11-20 22:14:39,2025-11-20 22:14:44,1,0.1493493914604187,0.057266585528850555,0.23930437862873077,0.781496062992126
130,45,32,64,2,0.001,0.1,30,MAE,2025-11-20 22:14:44,2025-11-20 22:14:49,1,0.32215890288352966,0.34071460366249084,0.5837076306343079,0.7893700787401575
131,45,32,64,2,0.001,0.1,50,MSE,2025-11-20 22:14:49,2025-11-20 22:14:58,1,0.25034216046333313,0.15073317289352417,0.388243705034256,0.7992125984251969
132,45,32,64,2,0.001,0.1,50,MAE,2025-11-20 22:14:58,2025-11-20 22:15:07,1,0.1957484930753708,0.14037539064884186,0.37466704845428467,0.8031496062992126
133,45,32,64,2,0.001,0.2,30,MSE,2025-11-20 22:15:07,2025-11-20 22:15:12,1,0.16151931881904602,0.07122159749269485,0.2668737471103668,0.7795275590551181
134,45,32,64,2,0.001,0.2,30,MAE,2025-11-20 22:15:12,2025-11-20 22:15:17,1,0.2880045175552368,0.19571524858474731,0.4423971474170685,0.7992125984251969
135,45,32,64,2,0.001,0.2,50,MSE,2025-11-20 22:15:17,2025-11-20 22:15:26,1,0.15311439335346222,0.06223876401782036,0.24947698414325714,0.8031496062992126
136,45,32,64,2,0.001,0.2,50,MAE,2025-11-20 22:15:26,2025-11-20 22:15:34,1,0.23205150663852692,0.19799365103244781,0.44496476650238037,0.812992125984252
137,45,32,64,2,0.002,0.1,30,MSE,2025-11-20 22:15:34,2025-11-20 22:15:40,1,0.19701369106769562,0.11256901919841766,0.33551305532455444,0.8070866141732284
138,45,32,64,2,0.002,0.1,30,MAE,2025-11-20 22:15:40,2025-11-20 22:15:45,1,0.22464922070503235,0.15296730399131775,0.391110360622406,0.797244094488189
139,45,32,64,2,0.002,0.1,50,MSE,2025-11-20 22:15:45,2025-11-20 22:15:53,1,0.19400794804096222,0.12519009411334991,0.35382211208343506,0.797244094488189
140,45,32,64,2,0.002,0.1,50,MAE,2025-11-20 22:15:53,2025-11-20 22:16:02,1,0.6334130167961121,1.2069666385650635,1.0986202955245972,0.8228346456692913
141,45,32,64,2,0.002,0.2,30,MSE,2025-11-20 22:16:02,2025-11-20 22:16:07,1,0.21544432640075684,0.08663428574800491,0.29433703422546387,0.7933070866141733
142,45,32,64,2,0.002,0.2,30,MAE,2025-11-20 22:16:07,2025-11-20 22:16:12,1,0.23953449726104736,0.18494433164596558,0.4300515353679657,0.8110236220472441
143,45,32,64,2,0.002,0.2,50,MSE,2025-11-20 22:16:12,2025-11-20 22:16:21,1,0.20608757436275482,0.09408102184534073,0.3067263066768646,0.8090551181102362
144,45,32,64,2,0.002,0.2,50,MAE,2025-11-20 22:16:21,2025-11-20 22:16:29,1,0.4323064982891083,0.5300304293632507,0.7280318737030029,0.8149606299212598
145,45,32,64,3,0.001,0.1,30,MSE,2025-11-20 22:16:30,2025-11-20 22:16:36,1,0.46604353189468384,0.5007224678993225,0.707617461681366,0.7854330708661418
146,45,32,64,3,0.001,0.1,30,MAE,2025-11-20 22:16:36,2025-11-20 22:16:43,1,0.48019006848335266,0.6630828976631165,0.8142990469932556,0.7933070866141733
147,45,32,64,3,0.001,0.1,50,MSE,2025-11-20 22:16:43,2025-11-20 22:16:55,1,0.35067686438560486,0.4564262330532074,0.6755932569503784,0.8031496062992126
148,45,32,64,3,0.001,0.1,50,MAE,2025-11-20 22:16:55,2025-11-20 22:17:06,1,0.6386479139328003,1.0257585048675537,1.0127973556518555,0.8051181102362205
149,45,32,64,3,0.001,0.2,30,MSE,2025-11-20 22:17:06,2025-11-20 22:17:13,1,0.2642313838005066,0.21452468633651733,0.46316808462142944,0.765748031496063
150,45,32,64,3,0.001,0.2,30,MAE,2025-11-20 22:17:13,2025-11-20 22:17:19,1,0.3481661379337311,0.3919273912906647,0.626041054725647,0.7893700787401575
151,45,32,64,3,0.001,0.2,50,MSE,2025-11-20 22:17:20,2025-11-20 22:17:31,1,0.33855271339416504,0.44967013597488403,0.6705744862556458,0.8031496062992126
152,45,32,64,3,0.001,0.2,50,MAE,2025-11-20 22:17:31,2025-11-20 22:17:42,1,0.3534936308860779,0.5441026091575623,0.7376331090927124,0.8070866141732284
153,45,32,64,3,0.002,0.1,30,MSE,2025-11-20 22:17:42,2025-11-20 22:17:49,1,0.32594946026802063,0.41825634241104126,0.6467273831367493,0.7893700787401575
154,45,32,64,3,0.002,0.1,30,MAE,2025-11-20 22:17:49,2025-11-20 22:17:56,1,0.6916706562042236,1.1042896509170532,1.050851821899414,0.8248031496062992
